TID	Name	RA(longitude)	Dec(latitude)
124	'[NCA2002] WD 3                    '	214.0560916628560	52.1935908297374
125	'NGC 5477                          '	211.388824	54.460515
126	'NGC 5474                          '	211.256700	53.662208
127	'M 101                             '	210.802429	54.348750
128	'UGC 8508                          '	202.6869639190060	54.9107032534806
129	'UGC 6732                          '	176.3880174295270	58.9781415018653
130	'NGC 3690                          '	172.130525	58.561611
131	'NGC 3445                          '	163.6479723612170	56.9908075335058
132	'NGC 3353                          '	161.343292	55.960378
133	'Mrk 33                            '	158.133150	54.400981
134	'NGC 2841                          '	140.511063	50.976478
135	'NGC 5900                          '	228.770904	42.209853
136	'NGC 5899                          '	228.763550	42.049853
137	'NGC 5929                          '	231.525658	41.670667
138	'NGC 4194                          '	183.540063	54.526646
139	'NGC 3982                          '	179.117371	55.125361
140	'NGC 3998                          '	179.4838889837550	55.4535905140233
141	'NGC 3738                          '	173.954091	54.523528
142	'NGC 3656                          '	170.910812	53.842050
143	'NGC 3310                          '	159.691071	53.503303
144	'NAME UMa I Galaxy                 '	158.72000	51.92000
145	'UGC 9240                          '	216.1794812952260	44.5254873399131
146	'NGC 5633                          '	216.8681704848630	46.1465343370929
147	'NGC 5377                          '	209.0694523579400	47.2357116901836
148	'MCG+08-25-018                     '	203.347115	49.103598
149	'NGC 3718                          '	173.1452197789150	53.0679150871206
150	'NAME Willman 1                    '	162.3375	51.0500
151	'LEDA 3095910                      '	149.827807	47.616246
152	'NGC 2776                          '	138.060546	44.954894
153	'NGC 5195                          '	202.498292	47.266128
154	'M 51                              '	202.469575	47.195258
155	'SDSS J121906.49+474348.8          '	184.777054	47.730242
156	'NGC 4085                          '	181.344604	50.352750
157	'NGC 4157                          '	182.768187	50.484681
158	'UGC 7176                          '	182.730124	50.287554
159	'NGC 3896                          '	177.234925	48.674664
160	'NGC 3893                          '	177.159196	48.710789
161	'Mrk 178                           '	173.37133	49.23817
162	'NGC 3198                          '	154.979125	45.549689
163	'NGC 2798                          '	139.345642	41.999711
164	'NGC 2782                          '	138.521333	40.113800
165	'LEDA 25096                        '	134.031405	39.869144
166	'UGC 8320                          '	198.616656	45.919762
167	'NGC 4248                          '	184.4576763254420	47.4091807412126
168	'NGC 4242                          '	184.3757701350040	45.6193087786425
169	'NAME LV J1217+4703                '	184.2850	47.0639
170	'LEDA 166131                       '	185.1679	46.9997
171	'M 106                             '	184.740083	47.303719
172	'LEDA 3096090                      '	180.743044	47.653091
173	'NGC 3741                          '	174.023974	45.284155
174	'LEDA 3096015                      '	166.4237	46.4136
175	'UGC 2479                          '	45.167488	0.020367
176	'UGC 2482                          '	45.263693	-0.743465
177	'LEDA 1142424                      '	46.144817	-0.475264
178	'6dFGS gJ030420.9-065948           '	46.086949	-6.996469
179	'NGC 1199                          '	45.909929	-15.613506
180	'NGC 1232                          '	47.439642	-20.579300
181	'NGC 1201                          '	46.033204	-26.069592
182	'NGC 1300                          '	49.9210222313628	-19.4111505140885
183	'NGC 1297                          '	49.8092898532820	-19.1001026641970
184	'NGC 1310                          '	50.264296	-37.101689
185	'UGC 2716                          '	51.030238	17.753038
